"Week","Year_Tank","Abundance","scAbundance","Recipient"
6,"2018_Cont1",1504,0.940642405434178,"Phytopla1"
8,"2018_Cont1",1551,0.952057869802585,"Phytopla1"
10,"2018_Cont1",6269,1.47036181167628,"Phytopla1"
12,"2018_Cont1",969,0.77758489866099,"Phytopla1"
14,"2018_Cont1",45,-0.354125169167692,"Phytopla1"
16,"2018_Cont1",190,0.174350133792837,"Phytopla1"
18,"2018_Cont1",279,0.316346342823105,"Phytopla1"
20,"2018_Cont1",96,-0.0771720382710295,"Phytopla1"
NA,"2018_Cont1",NA,NA,"Phytopla1"
2,"2018_Cont2",3893,1.29353688195258,"Phytopla1"
4,"2018_Cont2",13220,1.74730029358974,"Phytopla1"
6,"2018_Cont2",11372,1.69140836480399,"Phytopla1"
8,"2018_Cont2",4113,1.31393851128995,"Phytopla1"
10,"2018_Cont2",12789,1.73499712673935,"Phytopla1"
12,"2018_Cont2",2959,1.19173170990669,"Phytopla1"
14,"2018_Cont2",58,-0.261730919004417,"Phytopla1"
16,"2018_Cont2",0,-1.77537896023556,"Phytopla1"
18,"2018_Cont2",2,-1.36755625800622,"Phytopla1"
20,"2018_Cont2",0,-1.77537896023556,"Phytopla1"
NA,"2018_Cont2",NA,NA,"Phytopla1"
2,"2018_Fipro1",4379,1.33719629637617,"Phytopla1"
4,"2018_Fipro1",7104,1.51677215711736,"Phytopla1"
6,"2018_Fipro1",23052,1.95369259183091,"Phytopla1"
8,"2018_Fipro1",92,-0.0928045047266894,"Phytopla1"
10,"2018_Fipro1",7,-1.00345652918035,"Phytopla1"
12,"2018_Fipro1",22,-0.611432646186096,"Phytopla1"
14,"2018_Fipro1",3,-1.26076400619875,"Phytopla1"
16,"2018_Fipro1",3,-1.26076400619875,"Phytopla1"
18,"2018_Fipro1",0,-1.77537896023556,"Phytopla1"
20,"2018_Fipro1",0,-1.77537896023556,"Phytopla1"
NA,"2018_Fipro1",NA,NA,"Phytopla1"
2,"2018_Fipro2",5122,1.39536271566802,"Phytopla1"
4,"2018_Fipro2",6283,1.47118975962108,"Phytopla1"
6,"2018_Fipro2",16550,1.83069032347089,"Phytopla1"
