"","Df","Chisq","Chi Df","Pr(>Chisq)"
"scale(log_abs_DD, scale = FALSE)",10,1.61,1,0.21
"SignDD",10,0.12,1,0.73
"scale(smap_coef_SD, scale = FALSE)",10,21.9,1,0
"scale(smap_coef_mean, scale = FALSE)",10,0.01,1,0.92
"Function",9,9.96,2,0.01
"scale(log_abs_DD, scale = FALSE):SignDD",10,7.5,1,0.01
